i,j,gamma_hat,gamma_true,abs_error,auc,is_true
0,57,-0.019055219720208013,,,0.7687100302183602,False
0,58,-0.014797373169038178,,,0.7687267653804535,False
0,59,-0.006204462036993784,,,0.7687062274818074,False
0,60,-0.007749677026250041,,,0.7687186657076591,False
0,61,0.009120622481372718,,,0.7686897290153546,False
0,62,0.015373135726112878,,,0.7686851485645547,False
0,63,-0.004341494773047905,,,0.7687123243453365,False
0,64,-0.011809490952460196,,,0.7686992332556855,False
0,65,0.017365307040224515,,,0.7686763310016863,False
0,66,0.007296638304885365,,,0.7686849872993932,False
0,67,-0.005322400919670546,,,0.768707629448293,False
0,68,-0.0002323375680596297,,,0.768695290062379,False
0,69,0.010661906341905985,,,0.7686956203958553,False
0,70,0.02563777718093602,-0.01184335371063,0.03748113089156602,0.7687485673898824,True
0,71,0.010556984618296801,,,0.7686781725457897,False
0,72,0.020639500949450044,0.0411434311444527,0.020503930195002656,0.7686654846190426,True
0,73,0.019401169981305484,,,0.7686734048193183,False
0,74,-0.014832461463868504,,,0.7687321729654691,False
0,75,0.01099999180416604,,,0.7687053665339286,False
0,76,0.01078668677773128,,,0.7686838038211911,False
0,77,-0.026754529490880842,,,0.7687326463567501,False
0,78,0.018228110333976914,,,0.7686600926403327,False
0,79,0.01322782757641893,,,0.7686901659919214,False
0,80,0.006359569765201937,,,0.7686875493346219,False
0,81,0.0016771938886755537,,,0.7686935291508564,False
0,82,-0.006924924177830683,,,0.7686970951917687,False
0,83,-0.013685942112851554,,,0.7687168111583006,False
0,84,0.0029814259359544817,,,0.7686852343992375,False
0,85,0.018814062054184833,,,0.7686478182806937,False
0,86,-0.008697196596912668,,,0.7686991760325637,False
0,87,-0.0002448706513323712,,,0.76869573744315,False
0,88,-0.01354049108665752,,,0.7687097545069549,False
0,89,0.0023407591392531173,-0.0516490850434369,0.05398984418269001,0.7686887042012631,True
0,90,0.015169561782969295,,,0.7686885429361014,False
0,91,-0.013665870738245874,,,0.7687302898045498,False
0,92,0.010490808190848265,,,0.7686719612360169,False
0,93,-0.002426388694676822,,,0.7687010435871772,False
0,94,0.004110094309974171,,,0.7686853774570422,False
0,95,0.017429699731921277,,,0.7686670634569958,False
0,96,-0.007448819881588584,,,0.7687163429691218,False
0,97,0.010451193894632099,,,0.7686829142617511,False
0,98,0.007357860937644999,,,0.7686873698621033,False
0,99,0.07554919281927211,0.1698447025674551,0.09429550974818299,0.7688166238891317,True
1,2,0.011584301001425913,,,0.768692462719949,False
1,3,-0.007781766784064415,,,0.7687184212088658,False
1,4,-0.0015080659496348077,,,0.7686994517439688,False
1,5,-0.009682309501487883,,,0.7687123503558465,False
1,6,0.0009416130043145999,,,0.7686944863376219,False
1,7,0.021126561362623995,,,0.7686577855081013,False
1,8,-0.008793905839834557,,,0.7687076216451401,False
1,9,0.0004607493136834801,,,0.7686944239123982,False
1,10,-0.029016990320430414,,,0.7687846491692666,False
1,11,-0.01839296639116002,,,0.7687188972011976,False
1,12,0.009407650996168828,,,0.7686794678691844,False
1,13,-0.003751220525477052,,,0.7687028799291786,False
1,14,-0.023404855373926677,,,0.7687890839612107,False
1,15,0.010541599446378192,,,0.7686813380248491,False
1,16,0.007396764992943753,,,0.7686849430815261,False
1,17,-0.006786944623000961,,,0.768699378914541,False
1,18,-0.0039479655537856245,,,0.7686921948116966,False
1,19,0.009176046178798053,,,0.7686847011837838,False
1,20,-0.0028268069610264054,,,0.7686978208849959,False
1,21,-0.012053764384840715,,,0.7687166967120569,False
1,22,-0.030250577069634677,-0.1042568765549495,0.07400629948531483,0.7687348286385338,True
1,23,0.02272826497717719,,,0.7686682547383508,False
1,24,-0.003966557964567929,,,0.7686991214104928,False
1,25,-0.009253972138574937,,,0.768705582421161,False
1,26,-0.03260287783194569,,,0.7687867066006026,False
1,27,0.034766208502577,0.1198348813672694,0.0850686728646924,0.768764353168363,True
1,28,-0.018713473523519056,,,0.76874620563558,False
1,29,0.0023450181652325854,,,0.7686874921115,False
1,30,-0.0013489659989537137,,,0.7686957244378949,False
1,31,-0.010302561761006815,,,0.7687225022578749,False
1,32,-0.00127932644554285,,,0.7686988821138013,False
1,33,-0.005086516738517885,,,0.7686972330474714,False
1,34,-0.006532964187926944,,,0.7687080144038402,False
1,35,0.008148277322088874,0.1698499323675344,0.16170165504544554,0.7686818088150789,True
1,36,-0.01502942265444591,,,0.7687444525272104,False
1,37,-0.0026667964842761217,,,0.7686974619399589,False
1,38,0.01195960769090763,,,0.7686863372448589,False
1,39,0.018830223293879234,,,0.7686989679484839,False
1,40,0.010633728434199165,,,0.7686987494602007,False
1,41,0.007789455096999,,,0.7686938880958933,False
1,42,-0.007834603654295814,,,0.7687145430418342,False
1,43,0.00749848655081501,,,0.7686813848437669,False
1,44,-0.010269446111100847,,,0.7686717947687534,False
1,45,-0.008767236230248682,,,0.7686971394096357,False
1,46,-0.001903023413414227,0.0456267904734912,0.04752981388690543,0.7687014181385201,True
1,47,-0.019778179801256776,,,0.7687315122985169,False
1,48,-0.022349913113011603,,,0.7687548489280323,False
1,49,-0.011247760797181195,,,0.7687169568171563,False
1,50,-0.01996652480070444,,,0.7687478937176752,False
1,51,-0.002560836234554169,,,0.7687012698786135,False
1,52,0.0016284858688080973,,,0.7686914301027044,False
1,53,-0.0070256724041159214,,,0.768698569987682,False
1,54,-0.012367493919983525,,,0.7687300349015526,False
1,55,-0.008485936109406681,,,0.7687157837431582,False
1,56,-0.0025014537791609275,,,0.7687012152565426,False
1,57,-0.006200249462674175,,,0.7686944083060923,False
1,58,-0.035350794601658894,,,0.768761406177587,False
1,59,0.01985694368468256,0.0267455236659933,0.00688857998131074,0.7686633803687888,True
1,60,-0.001123168052448758,,,0.7686977402524151,False
1,61,0.01244751192525679,,,0.7687022270653792,False
1,62,0.01036612620451382,,,0.7686864022711337,False
1,63,0.0002404672734874283,,,0.7686941377967889,False
1,64,-0.007259703182280582,,,0.7686955813800904,False
1,65,0.001222585932223412,,,0.7686937190275789,False
1,66,-0.013647319639217993,,,0.7687178255681881,False
1,67,-0.00020958882508741693,,,0.7686956281990082,False
1,68,-0.007990488046197827,,,0.7687033819320204,False
1,69,-0.0037625783650435396,,,0.768700211250859,False
1,70,0.0006315705530745893,0.0653241351204965,0.06469256456742191,0.7686969989528819,True
1,71,-0.0065477582813753404,,,0.7687076164430381,False
1,72,-0.003782497255960051,,,0.7687017588762003,False
1,73,0.00029790265275468544,,,0.7686945201512849,False
1,74,-0.022502585381696732,,,0.7687522322707324,False
1,75,0.010955619817821461,,,0.7686860719376575,False
1,76,0.015366591649755922,0.1689393765869061,0.15357278493715018,0.7686795667091224,True
1,77,-0.007936338477929804,,,0.7687058425262603,False
1,78,-0.011257076657215712,,,0.7687207257400462,False
1,79,-0.018451501417157956,,,0.7687410373472557,False
1,80,-0.02190546573253595,,,0.7687474541400572,False
1,81,-0.0061652486017722274,,,0.7687103319402753,False
1,82,0.022922404860950894,0.1631826358715482,0.14026023101059729,0.7687078791491885,True
1,83,-0.0031297425204086966,0.1087068896464331,0.1118366321668418,0.7687017484719963,True
1,84,-0.011082118733380178,,,0.768721610097384,False
1,85,-0.0015513132474121315,,,0.7687001722350941,False
1,86,-0.022438081438963836,,,0.7687246091091798,False
1,87,-0.014382659506318058,,,0.7687259330441355,False
1,88,-0.015821678508216187,,,0.7687167851477907,False
1,89,-0.014576640785923243,,,0.7687294626703338,False
1,90,0.0001591806146016301,,,0.7686950455635856,False
1,91,0.005227346504265654,,,0.7686861629744423,False
1,92,0.0123576613463626,,,0.7686680674626793,False
1,93,-0.0045608624663715375,,,0.7687063679385611,False
1,94,0.019687046550030503,,,0.7686621136569548,False
1,95,0.007670888027899954,,,0.7686820090960054,False
1,96,0.016274790089909074,,,0.7686683275677787,False
1,97,-0.02509278179961301,,,0.7687545888229327,False
1,98,0.006405887049856191,,,0.7686881215658405,False
1,99,0.02759596343165937,0.1420348454655306,0.11443888203387123,0.7687075540178142,True
2,3,-0.03358613132741071,,,0.7687677215293999,False
2,4,0.0010513514077459016,,,0.7686951001856565,False
2,5,-0.03376356286581092,,,0.7687107533105364,False
2,6,0.09170221817296031,0.2550621785158429,0.16335996034288258,0.7690780997423725,True
2,7,0.003592022389825396,,,0.7686949649310049,False
2,8,-0.0032453706834176654,,,0.7686915653573562,False
2,9,-0.011723433788896693,,,0.7686955865821923,False
2,10,0.0038408242590405733,,,0.7686958909051583,False
2,11,-0.0035806220319884504,,,0.7686928346702411,False
2,12,-0.0017278470976692367,,,0.768693659203406,False
2,13,-0.005022944071996082,,,0.7686942418388285,False
2,14,-0.011783231038599684,,,0.7687186787129142,False
2,15,-0.016961891558657835,,,0.768708844139107,False
2,16,-0.0071182227004710375,,,0.7686993294945723,False
2,17,-0.0020022412974219873,,,0.7686916980109568,False
2,18,-0.0018257156406109535,,,0.7686898226531904,False
2,19,-0.010467196600155715,,,0.7686952120308492,False
2,20,-0.003472111211605771,,,0.7686914873258263,False
2,21,-0.02689116210817223,,,0.7687112371060213,False
2,22,-0.039492324756387885,,,0.7687569843908979,False
2,23,0.008830834258887749,,,0.7686964787426831,False
2,24,-0.011800511126963599,-0.0295327493113465,0.017732238184382902,0.7686976830292933,True
2,25,-0.01793109385261052,,,0.7687044067461117,False
2,26,-0.006396170344629432,-0.0946248826933322,0.08822871234870278,0.7686977376513641,True
2,27,-0.029520208704731685,,,0.7687028929344336,False
2,28,0.01617379115845734,,,0.7687114633974577,False
2,29,-0.024686497740970287,,,0.7687200858815016,False
2,30,-0.012363785421244942,,,0.768689518330224,False
2,31,-0.037049020853304734,,,0.7687338480423092,False
2,32,-0.023002361335603932,,,0.7687284872762112,False
2,33,-0.03473139933249106,,,0.7686625246230118,False
2,34,-0.01315400119284777,,,0.7686988326938324,False
2,35,-0.010174784142352565,,,0.7686948374795062,False
2,36,-0.01914763056229458,,,0.7687256339232712,False
2,37,0.008480316383472379,,,0.768705598027467,False
2,38,-0.007242839472996436,,,0.7686868054340378,False
2,39,-0.04183723998852623,,,0.7687287057644946,False
2,40,-0.0016604415146577898,,,0.7686919086960873,False
2,41,-0.00809648044183514,-0.0198920419609793,0.01179556151914416,0.7686928034576291,True
2,42,0.002568119606156086,,,0.7686969937507799,False
2,43,0.010998478234117355,,,0.7687118925708717,False
2,44,-0.03741886362689042,,,0.7686810935260555,False
2,45,-0.006064875093024055,,,0.768684630955407,False
2,46,-0.012803997793093084,,,0.7687100276173091,False
2,47,0.0010550317478505086,,,0.7686975581788456,False
2,48,-0.002119047515289822,,,0.7686942392377776,False
2,49,0.022498231558806793,,,0.7687064901879579,False
2,50,-0.00031160591887068913,,,0.768694876495271,False
2,51,0.03281166790006808,,,0.7687040243916158,False
2,52,-0.064404079353634,-0.0674972452916599,0.003093165938025902,0.7688389331035045,True
2,53,-0.009466261385535456,,,0.7686886755897022,False
2,54,-0.0044921925695090535,,,0.768695760852609,False
2,55,0.017791541142963874,0.2048067657611901,0.18701522461822623,0.7686996442217425,True
2,56,0.0009644297540602337,,,0.7686965983910288,False
2,57,-0.009206861234027395,,,0.7686806227358258,False
2,58,-0.005124588071745947,,,0.7686963070733177,False
2,59,0.008450455598557997,,,0.768701457154285,False
2,60,0.006131127474940083,,,0.7687005675948453,False
2,61,-0.005944218171446828,,,0.7686827061776716,False
2,62,0.025374914201485937,,,0.7687028669239236,False
2,63,-0.014919198895100797,,,0.768731837429891,False
2,64,0.0014831339904414825,,,0.768700263271879,False
2,65,0.014448733179221346,,,0.7687119601981975,False
2,66,0.003955541908667003,0.013362404004299,0.009406862095631997,0.7687030698059011,True
