i,j,gamma_true,times_found,detection_rate,mean_gamma_pred,gamma_error_when_found
42,93,-0.0029770270120759,0,0.0,,
26,72,-0.0019631283229146,0,0.0,,
51,98,-0.0016327662931959,0,0.0,,
12,45,-0.0013607775463113,0,0.0,,
0,54,-0.001212440126417,0,0.0,,
53,61,-0.0011092942336127,0,0.0,,
3,68,0.0005360667375361,0,0.0,,
18,54,0.0014255998843246,0,0.0,,
43,96,0.0025379426853272,0,0.0,,
55,81,0.0029645440701003,0,0.0,,
63,89,0.00299420592806,4,0.6666666666666666,-0.07287476565568182,0.07586897158374183
12,32,0.0031233535114836,0,0.0,,
23,92,0.0042060001852706,0,0.0,,
48,62,0.0042156140766726,1,0.16666666666666666,0.0160195721394544,0.011803958062781799
24,48,0.0055036909347805,0,0.0,,
25,60,0.0057791157959247,0,0.0,,
71,94,0.0061608327900904,0,0.0,,
91,94,0.0063299174849133,0,0.0,,
22,81,0.0067210205579005,0,0.0,,
10,63,0.0073196978760858,0,0.0,,
39,68,0.0077642270092165,0,0.0,,
11,78,0.0083075930882725,0,0.0,,
27,95,0.0088208300024124,0,0.0,,
43,74,0.008834160624217,0,0.0,,
17,42,0.0090822415911354,0,0.0,,
26,79,0.0113568785837598,0,0.0,,
24,62,0.0119187401231882,0,0.0,,
6,21,0.0120547840215101,1,0.16666666666666666,0.0404551131574392,0.028400329135929103
25,72,0.0124539971269736,0,0.0,,
49,62,0.0127630072108659,1,0.16666666666666666,0.0704405462807254,0.05767753906985949
59,66,0.0151717839934699,1,0.16666666666666666,-0.055612829125237,0.0707846131187069
51,99,0.0152541156788434,0,0.0,,
45,91,0.0152948118089817,0,0.0,,
97,99,0.0169705270419873,0,0.0,,
23,36,0.0170326028570111,0,0.0,,
22,79,0.0178299462259806,0,0.0,,
60,85,0.0179244284511856,0,0.0,,
43,67,0.018362233336733,0,0.0,,
44,68,0.0184081640678099,0,0.0,,
46,93,0.0184316852320712,0,0.0,,
36,61,0.0185561855656217,0,0.0,,
9,93,0.0199714492771028,0,0.0,,
12,80,0.0200075588945312,1,0.16666666666666666,0.0074320632542674,0.012575495640263801
46,91,0.0207313301964178,0,0.0,,
23,76,0.022343180333738,0,0.0,,
60,93,0.0225751171129413,0,0.0,,
27,72,0.0229123723744995,0,0.0,,
14,53,0.0234046925783608,0,0.0,,
